provincia,denuncias,den_per_10000
ALMERIA,4352,124.1470595
CADIZ,4436,70.60624919
CORDOBA,1826,45.77037609
GRANADA,3555,76.61819569
HUELVA,2216,84.18237489
JAEN,2031,63.47946216
MALAGA,8427,99.51464909
SEVILLA,7745,78.00524131
HUESCA,441,40.42348412
TERUEL,228,34.45357834
ZARAGOZA,3384,68.64932852
ASTURIAS,3109,58.15802371
ILLES BALEARS,5352,92.83752912
LAS PALMAS,4573,81.32669394
SANTA CRUZ DE TENERIFE,3769,71.83097518
CANTABRIA,2000,66.84246234
AVILA,321,40.9005772
BURGOS,790,44.22995096
LEON,1002,42.44072276
PALENCIA,307,37.83817095
SALAMANCA,655,38.61641227
SEGOVIA,352,46.17604618
SORIA,138,31.51260504
VALLADOLID,1360,51.07424919
ZAMORA,314,36.01867465
ALBACETE,901,46.39666315
CIUDAD REAL,1722,68.66165593
CUENCA,415,42.46262777
GUADALAJARA,770,60.52459893
TOLEDO,1864,53.94673628
BARCELONA,16243,55.98818123
GIRONA,2161,56.05808666
LLEIDA,1529,71.49002226
TARRAGONA,3165,78.49682912
ALICANTE,8846,94.41786148
CASTELLON,1751,60.00191896
VALENCIA,12323,94.20324754
BADAJOZ,1708,50.18363449
CACERES,762,38.38984332
A CORUÑA,2652,45.4868222
LUGO,709,41.74590931
OURENSE,806,50.34951056
PONTEVEDRA,2370,48.63493835
MADRID,26965,77.59212068
MURCIA,8250,110.587737
NAVARRA,1887,57.11552955
ARABA/ALAVA,940,55.96870516
GIPUZKOA,1452,24.35342659
BIZKAIA,3248,87.74844725
LA RIOJA,839,52.27284055
